n_obs,nrmse,optimality_gap,total_regret,cvar90,max_regret,sse,actual_sum,oracle_sum,realized_sum,zone,block,cvar_lambda,train_start,train_end,test_start,test_end,history_rows
360,69.21110928003306,30.02342865716318,48325.01098724999,731.5197533816608,3392.2055062500003,37.8339859752202,168.622875,160957.6692225,112632.65823525001,z03,5,0.05,2012-07-31,2012-10-28,2012-10-29,2012-11-27,12
360,57.21658572175743,24.178882902657495,38771.23866703737,631.6749705334596,2142.6916969628537,22.235121153139755,156.368425,160351.6540575,121580.41539046263,z03,6,0.0,2012-08-30,2012-11-27,2012-11-28,2012-12-27,12
360,55.67424047066322,22.750915605142822,36481.469486072405,583.337438499027,2158.4928609612516,21.05252659854766,156.368425,160351.6540575,123870.1845714276,z03,6,0.05,2012-08-30,2012-11-27,2012-11-28,2012-12-27,12
360,34.30361596436746,15.651509160875092,28685.037644142518,610.153109060797,8172.7336529602535,10.761648467389133,181.4474,183273.30195,154588.26430585748,z03,7,0.0,2012-09-29,2012-12-27,2012-12-28,2013-01-26,12
360,36.02636299428222,15.505986591068366,28418.33362537524,606.3121899104838,8640.288753631005,11.869702645132504,181.4474,183273.30195,154854.96832462476,z03,7,0.05,2012-09-29,2012-12-27,2012-12-28,2013-01-26,12
360,51.299397502196605,17.019335781271735,23796.278013266703,341.83739768260557,964.5425376119761,17.54542596901622,154.9248,139819.0758975,116022.7978842333,z03,8,0.0,2012-10-29,2013-01-26,2013-01-27,2013-02-25,12
360,51.78991343769631,17.530117939307644,24510.44890648182,357.5121006397569,916.0694026280555,17.882562757367946,154.9248,139819.0758975,115308.62699101819,z03,8,0.05,2012-10-29,2013-01-26,2013-01-27,2013-02-25,12
360,41.40180132917143,14.165922534970909,21050.46115072672,329.8489309588876,1603.9533560073655,11.080497458729464,152.5498,148599.2959425,127548.83479177329,z03,9,0.0,2012-11-28,2013-02-25,2013-02-26,2013-03-27,12
360,42.43483135696321,12.91412537274062,19190.299381024313,289.93361950256786,1523.7316382202305,11.640342139911958,152.5498,148599.2959425,129408.99656147568,z03,9,0.05,2012-11-28,2013-02-25,2013-02-26,2013-03-27,12
360,61.361305552464174,36.30338004647189,61608.497252325295,1260.5863494113191,22671.758685506487,19.339200326487948,135.980275,169704.57619499997,108096.0789426747,z03,10,0.0,2012-12-28,2013-03-27,2013-03-28,2013-04-26,12
360,65.45531895042251,34.9717698136225,59348.693750099,1209.08034127465,21990.32463847693,22.00590411810818,135.980275,169704.57619499997,110355.88244490098,z03,10,0.05,2012-12-28,2013-03-27,2013-03-28,2013-04-26,12
360,51.236602660644515,16.98584804278594,20476.84852778012,355.6889747481967,1806.3409830668888,10.194007181260336,118.234275,120552.40619250001,100075.55766471989,z03,11,0.0,2013-01-27,2013-04-26,2013-04-27,2013-05-26,12
360,56.18754616325244,16.10476353182758,19414.679949230394,323.18881723746904,1764.8078307332455,12.259264530292276,118.234275,120552.40619250001,101137.7262432696,z03,11,0.05,2013-01-27,2013-04-26,2013-04-27,2013-05-26,12
